Join_ID,FIPS,Point Coun
1263,01117030330,4.0
1264,01117030331,1.0
1265,01117030336,3.0
1266,01117030337,
1267,01117030340,2.0
1268,01117030341,1.0
1269,01117030345,7.0
1270,01117030346,2.0
1271,01117030347,7.0
1272,01117030348,12.0
1273,01117030349,2.0
1274,01117030350,
1275,01117030351,
1276,01117030352,0.0
1277,01117030405,1.0
1278,01117030406,1.0
1279,01117030407,1.0
1280,01117030408,
1281,01117030502,4.0
1282,01117030503,
1283,01117030504,3.0
1284,01117030607,1.0
1285,01117030610,4.0
1286,01117030611,
1287,01117030612,1.0
1288,01117030613,0.0
1289,01117030614,
1290,01117030615,
1291,01117030616,3.0
1292,01117030701,0.0
1293,01117030703,3.0
1294,01117030704,
1295,01117030800,1.0
1296,01117030900,
1297,01117980000,
1298,01117980100,
1299,01119011301,2.0
1300,01119011302,
1301,01119011400,
1302,01119011500,4.0
1303,01119011600,
1304,01121010101,
1305,01121010102,2.0
1306,01121010201,1.0
1307,01121010202,2.0
1308,01121010301,
1309,01121010302,
1310,01121010400,1.0
1311,01121010500,
1312,01121010600,
1313,01121010700,1.0
1314,01121010900,15.0
1315,01121011000,
1316,01121011100,
1317,01121011200,
1318,01121011301,4.0
1319,01121011302,3.0
1320,01121011400,
1321,01121011501,
1322,01121011502,0.0
1323,01121011600,0.0
1324,01121011700,1.0
1325,01121011800,11.0
1326,01121011900,3.0
1327,01121012000,0.0
1328,01123961900,1.0
1329,01123962000,
1330,01123962100,3.0
1331,01123962200,
1332,01123962301,
1333,01123962302,17.0
1334,01123962400,6.0
1335,01123962501,
1336,01123962502,1.0
1337,01123962600,
1338,01123962701,
1339,01123962702,1.0
1340,01125010101,
1341,01125010102,
1342,01125010104,1.0
1343,01125010105,
1344,01125010201,3.0
1345,01125010203,
1346,01125010204,12.0
1347,01125010205,4.0
1348,01125010206,5.0
1349,01125010302,
1350,01125010303,
1351,01125010304,1.0
1352,01125010305,
1353,01125010403,9.0
1354,01125010404,
1355,01125010405,4.0
1356,01125010406,10.0
1357,01125010407,4.0
1358,01125010500,
1359,01125010601,1.0
1360,01125010603,1.0
1361,01125010604,1.0
1362,01125010703,2.0
